Gene stable ID	Transcript stable ID	Transcript start (bp)	Transcript end (bp)	Transcription start site (TSS)	Transcript length (including UTRs and CDS)	Strand	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene % GC content	Gene name	Gene type
YNL318C	YNL318C_mRNA	38707	40329	40329	1623	-1	38707	40329	XIV	36.11	HXT14	protein_coding
YAL009W	YAL009W_mRNA	135854	136633	135854	780	1	135854	136633	I	41.41	SPO7	protein_coding
YOL022C	YOL022C_mRNA	280272	281498	281498	1227	-1	280272	281498	XV	39.12	TSR4	protein_coding
YLR245C	YLR245C_mRNA	626502	626930	626930	429	-1	626502	626930	XII	44.29	CDD1	protein_coding
YOR079C	YOR079C_mRNA	473475	474416	474416	942	-1	473475	474416	XV	37.90	ATX2	protein_coding
YNL240C	YNL240C_mRNA	198502	199977	199977	1476	-1	198502	199977	XIV	51.49	NAR1	protein_coding
YLR241W	YLR241W_mRNA	620473	622821	620473	2349	1	620473	622821	XII	39.00	CSC1	protein_coding
YBR166C	YBR166C_mRNA	569842	571200	571200	1359	-1	569842	571200	II	37.31	TYR1	protein_coding
YPR104C	YPR104C_mRNA	733623	736433	736433	2811	-1	733623	736433	XVI	40.48	FHL1	protein_coding
YDR087C	YDR087C_mRNA	617470	618306	618306	837	-1	617470	618306	IV	39.07	RRP1	protein_coding
YJR011C	YJR011C_mRNA	458641	459426	459426	786	-1	458641	459426	X	33.21		protein_coding
YJR050W	YJR050W_mRNA	528697	529404	528697	708	1	528697	529404	X	39.27	ISY1	protein_coding
YAL065C	YAL065C_mRNA	11565	11951	11951	387	-1	11565	11951	I	44.19		protein_coding
YLR171W	YLR171W_mRNA	500733	501122	500733	390	1	500733	501122	XII	38.21		protein_coding
YJR112W-A	YJR112W-A_mRNA	637790	638168	637790	330	1	637790	638168	X	46.70		protein_coding
YOR091W	YOR091W_mRNA	493433	494470	493433	1038	1	493433	494470	XV	45.66	TMA46	protein_coding
YAL042C-A	YAL042C-A_mRNA	61231	61608	61608	378	-1	61231	61608	I	47.88		protein_coding
YGL212W	YGL212W_mRNA	91432	92382	91432	951	1	91432	92382	VII	45.53	VAM7	protein_coding
YGL152C	YGL152C_mRNA	216692	217369	217369	678	-1	216692	217369	VII	40.12		protein_coding
YFL039C	YFL039C_mRNA	53260	54696	54696	1128	-1	53260	54696	VI	41.27	ACT1	protein_coding
YGR018C	YGR018C_mRNA	524365	524694	524694	330	-1	524365	524694	VII	44.24		protein_coding
YHL017W	YHL017W_mRNA	70276	71874	70276	1599	1	70276	71874	VIII	39.15		protein_coding
YKL023C-A	YKL023C-A_mRNA	393146	393373	393373	228	-1	393146	393373	XI	38.16		protein_coding
YFR003C	YFR003C_mRNA	152657	153124	153124	468	-1	152657	153124	VI	42.09	YPI1	protein_coding
YML047C	YML047C_mRNA	180017	181075	181075	1059	-1	180017	181075	XIII	33.71	PRM6	protein_coding
YOL051W	YOL051W_mRNA	234940	238185	234940	3246	1	234940	238185	XV	41.65	GAL11	protein_coding
YHR137C-A	YHR137C-A_mRNA	375738	376388	376388	651	-1	375738	376388	VIII	42.40		protein_coding
YML101C-A	YML101C-A_mRNA	69409	69726	69726	318	-1	69409	69726	XIII	48.43		protein_coding
YAL028W	YAL028W_mRNA	92900	94486	92900	1587	1	92900	94486	I	42.53	FRT2	protein_coding
YLR328W	YLR328W_mRNA	784913	786118	784913	1206	1	784913	786118	XII	40.22	NMA1	protein_coding
YGR215W	YGR215W_mRNA	922175	922507	922175	333	1	922175	922507	VII	40.24	RSM27	protein_coding
YHR050W-A	YHR050W-A_mRNA	209475	209645	209475	171	1	209475	209645	VIII	33.33		protein_coding
YAL015C	YAL015C_mRNA	126903	128102	128102	1200	-1	126903	128102	I	43.42	NTG1	protein_coding
YDR342C	YDR342C_mRNA	1154216	1155928	1155928	1713	-1	1154216	1155928	IV	41.39	HXT7	protein_coding
YGR231C	YGR231C_mRNA	952548	953480	953480	933	-1	952548	953480	VII	41.91	PHB2	protein_coding
YOR307C	YOR307C_mRNA	892731	894092	894092	1362	-1	892731	894092	XV	38.03	SLY41	protein_coding
YOL007C	YOL007C_mRNA	311342	312367	312367	1026	-1	311342	312367	XV	39.47	CSI2	protein_coding
YER154W	YER154W_mRNA	475020	476228	475020	1209	1	475020	476228	V	46.65	OXA1	protein_coding
YML079W	YML079W_mRNA	110247	110852	110247	606	1	110247	110852	XIII	40.59		protein_coding
YPL085W	YPL085W_mRNA	387067	393654	387067	6588	1	387067	393654	XVI	41.17	SEC16	protein_coding
YLR159W	YLR159W_mRNA	485345	485689	485345	345	1	485345	485689	XII	47.54		protein_coding
YPL122C	YPL122C_mRNA	319226	320767	320767	1542	-1	319226	320767	XVI	36.06	TFB2	protein_coding
YOL165C	YOL165C_mRNA	1647	2078	2078	432	-1	1647	2078	XV	41.90	AAD15	protein_coding
YCL055W	YCL055W_mRNA	27929	28936	27929	1008	1	27929	28936	III	38.19	KAR4	protein_coding
YML052W	YML052W_mRNA	170402	171310	170402	909	1	170402	171310	XIII	45.65	SUR7	protein_coding
YBR132C	YBR132C_mRNA	499652	501442	501442	1791	-1	499652	501442	II	40.59	AGP2	protein_coding
YLR011W	YLR011W_mRNA	169103	169678	169103	576	1	169103	169678	XII	42.19	LOT6	protein_coding
YER127W	YER127W_mRNA	414481	415554	414481	1074	1	414481	415554	V	42.09	LCP5	protein_coding
YAL032C	YAL032C_mRNA	83335	84474	84474	1140	-1	83335	84474	I	45.26	PRP45	protein_coding
YBR153W	YBR153W_mRNA	547460	548194	547460	735	1	547460	548194	II	41.09	RIB7	protein_coding
YLR188W	YLR188W_mRNA	528300	530387	528300	2088	1	528300	530387	XII	41.38	MDL1	protein_coding
YER063W	YER063W_mRNA	281710	282366	281710	657	1	281710	282366	V	41.70	THO1	protein_coding
YHR063C	YHR063C_mRNA	224030	225169	225169	1140	-1	224030	225169	VIII	37.54	PAN5	protein_coding
YDR350C	YDR350C_mRNA	1176120	1178174	1178174	2055	-1	1176120	1178174	IV	36.55	ATP22	protein_coding
YGR100W	YGR100W_mRNA	690245	693097	690245	2853	1	690245	693097	VII	38.24	MDR1	protein_coding
YGR020C	YGR020C_mRNA	526973	527329	527329	357	-1	526973	527329	VII	40.06	VMA7	protein_coding
YJR051W	YJR051W_mRNA	529861	531366	529861	1506	1	529861	531366	X	39.24	OSM1	protein_coding
YGL088W	YGL088W_mRNA	345836	346201	345836	366	1	345836	346201	VII	37.16		protein_coding
YGR275W	YGR275W_mRNA	1043276	1043749	1043276	474	1	1043276	1043749	VII	41.77	RTT102	protein_coding
YJR125C	YJR125C_mRNA	654737	655963	655963	1227	-1	654737	655963	X	40.91	ENT3	protein_coding
snR68	snR68_snoRNA	97111	97246	97111	136	1	97111	97246	IX	30.15		snoRNA
YAL020C	YAL020C_mRNA	113614	114615	114615	1002	-1	113614	114615	I	55.19	ATS1	protein_coding
YLR312W-A	YLR312W-A_mRNA	759480	760241	759480	762	1	759480	760241	XII	39.24	MRPL15	protein_coding
RPR1	RPR1_ncRNA	117667	118035	118035	369	-1	117667	118035	V	51.49		ncRNA
YOR222W	YOR222W_mRNA	758330	759253	758330	924	1	758330	759253	XV	42.75	ODC2	protein_coding
YMR193W	YMR193W_mRNA	650036	650812	650036	777	1	650036	650812	XIII	36.16	MRPL24	protein_coding
YPR159C-A	YPR159C-A_mRNA	860314	860415	860415	102	-1	860314	860415	XVI	37.25		protein_coding
YPR109W	YPR109W_mRNA	744689	745573	744689	885	1	744689	745573	XVI	38.08		protein_coding
YPL053C	YPL053C_mRNA	457118	458458	458458	1341	-1	457118	458458	XVI	37.36	KTR6	protein_coding
YFR030W	YFR030W_mRNA	213312	216419	213312	3108	1	213312	216419	VI	39.67	MET10	protein_coding
YLR207W	YLR207W_mRNA	556788	559289	556788	2502	1	556788	559289	XII	41.41	HRD3	protein_coding
YKL150W	YKL150W_mRNA	166544	167452	166544	909	1	166544	167452	XI	41.36	MCR1	protein_coding
YEL035C	YEL035C_mRNA	85045	85545	85545	501	-1	85045	85545	V	49.30	UTR5	protein_coding
YBR005W	YBR005W_mRNA	245906	246547	245906	642	1	245906	246547	II	46.88	RCR1	protein_coding
YMR172C-A	YMR172C-A_mRNA	607828	608211	608211	384	-1	607828	608211	XIII	38.28		protein_coding
tS(AGA)M	tS(AGA)M_tRNA	259158	259239	259239	82	-1	259158	259239	XIII	53.66		tRNA
YNL335W	YNL335W_mRNA	11452	12129	11452	678	1	11452	12129	XIV	44.10	DDI3	protein_coding
YGR243W	YGR243W_mRNA	977336	977776	977336	441	1	977336	977776	VII	43.76	MPC3	protein_coding
YJL024C	YJL024C_mRNA	395931	396592	396592	585	-1	395931	396592	X	36.71	APS3	protein_coding
YGR240C	YGR240C_mRNA	970771	973734	973734	2964	-1	970771	973734	VII	41.57	PFK1	protein_coding
YML025C	YML025C_mRNA	224406	225365	225365	861	-1	224406	225365	XIII	42.08	YML6	protein_coding
YBR106W	YBR106W_mRNA	452658	453224	452658	567	1	452658	453224	II	43.39	PHO88	protein_coding
YFL053W	YFL053W_mRNA	23423	25198	23423	1776	1	23423	25198	VI	46.40	DAK2	protein_coding
YGR104C	YGR104C_mRNA	697445	698368	698368	924	-1	697445	698368	VII	37.99	SRB5	protein_coding
YDL085C-A	YDL085C-A_mRNA	302464	302670	302670	207	-1	302464	302670	IV	41.55		protein_coding
YLR363C	YLR363C_mRNA	852495	853151	853151	657	-1	852495	853151	XII	33.64	NMD4	protein_coding
YDL103C	YDL103C_mRNA	275148	276581	276581	1434	-1	275148	276581	IV	40.24	QRI1	protein_coding
YGL056C	YGL056C_mRNA	396035	397618	397618	1584	-1	396035	397618	VII	42.17	SDS23	protein_coding
YKL169C	YKL169C_mRNA	130685	131068	131068	384	-1	130685	131068	XI	41.41		protein_coding
YHR102W	YHR102W_mRNA	316572	319814	316572	3243	1	316572	319814	VIII	41.63	KIC1	protein_coding
YJL212C	YJL212C_mRNA	33850	36249	36249	2400	-1	33850	36249	X	42.42	OPT1	protein_coding
YOR320C	YOR320C_mRNA	913619	915094	915094	1476	-1	913619	915094	XV	35.70	GNT1	protein_coding
YOR318C	YOR318C_mRNA	911784	912436	912436	306	-1	911784	912436	XV	40.58		protein_coding
YDR480W	YDR480W_mRNA	1417399	1418370	1417399	972	1	1417399	1418370	IV	40.84	DIG2	protein_coding
YOR259C	YOR259C_mRNA	812395	813708	813708	1314	-1	812395	813708	XV	41.10	RPT4	protein_coding
YOL006C	YOL006C_mRNA	313078	315387	315387	2310	-1	313078	315387	XV	38.44	TOP1	protein_coding
YJR061W	YJR061W_mRNA	550511	553318	550511	2808	1	550511	553318	X	37.96		protein_coding
YML106W	YML106W_mRNA	56773	57453	56773	681	1	56773	57453	XIII	41.12	URA5	protein_coding
ETS2-1	ETS2-1_rRNA	451575	451785	451785	211	-1	451575	451785	XII	31.75		rRNA
YHL010C	YHL010C_mRNA	81964	83721	83721	1758	-1	81964	83721	VIII	38.05	ETP1	protein_coding
YGL072C	YGL072C_mRNA	371003	371362	371362	360	-1	371003	371362	VII	45.83		protein_coding
YJL001W	YJL001W_mRNA	435163	435926	435163	648	1	435163	435926	X	38.87	PRE3	protein_coding
YDL055C	YDL055C_mRNA	355674	356759	356759	1086	-1	355674	356759	IV	41.62	PSA1	protein_coding
YGL233W	YGL233W_mRNA	59122	61854	59122	2733	1	59122	61854	VII	34.07	SEC15	protein_coding
YNL174W	YNL174W_mRNA	308074	308646	308074	573	1	308074	308646	XIV	38.39		protein_coding
YPL237W	YPL237W_mRNA	100496	101353	100496	858	1	100496	101353	XVI	39.39	SUI3	protein_coding
YLR154W-C	YLR154W-C_mRNA	454696	455070	454696	375	1	454696	455070	XII	45.87	TAR1	protein_coding
YBR210W	YBR210W_mRNA	645550	645978	645550	429	1	645550	645978	II	35.90	ERV15	protein_coding
YER098W	YER098W_mRNA	355466	357730	355466	2265	1	355466	357730	V	36.82	UBP9	protein_coding
YPL031C	YPL031C_mRNA	492018	493037	493037	918	-1	492018	493037	XVI	43.53	PHO85	protein_coding
tN(GUU)F	tN(GUU)F_tRNA	137486	137559	137559	74	-1	137486	137559	VI	54.05		tRNA
YNL005C	YNL005C_mRNA	621313	622428	622428	1116	-1	621313	622428	XIV	38.08	MRP7	protein_coding
YDR510W	YDR510W_mRNA	1469400	1469705	1469400	306	1	1469400	1469705	IV	43.14	SMT3	protein_coding
YIL085C	YIL085C_mRNA	200490	202043	202043	1554	-1	200490	202043	IX	38.93	KTR7	protein_coding
YOR298W	YOR298W_mRNA	875599	877038	875599	1440	1	875599	877038	XV	34.51	MUM3	protein_coding
YOR217W	YOR217W_mRNA	749301	751886	749301	2586	1	749301	751886	XV	39.56	RFC1	protein_coding
YNR014W	YNR014W_mRNA	652465	653103	652465	639	1	652465	653103	XIV	53.83		protein_coding
YBR301W	YBR301W_mRNA	809057	809419	809057	363	1	809057	809419	II	49.04	PAU24	protein_coding
YPR036W	YPR036W_mRNA	643836	645272	643836	1437	1	643836	645272	XVI	44.61	VMA13	protein_coding
YBR076W	YBR076W_mRNA	390227	391291	390227	1065	1	390227	391291	II	36.90	ECM8	protein_coding
YML014W	YML014W_mRNA	243225	244064	243225	840	1	243225	244064	XIII	47.50	TRM9	protein_coding
YDR332W	YDR332W_mRNA	1131001	1133070	1131001	2070	1	1131001	1133070	IV	36.43	IRC3	protein_coding
YBL062W	YBL062W_mRNA	105308	105688	105308	381	1	105308	105688	II	35.43		protein_coding
YGR102C	YGR102C_mRNA	694584	695135	695135	552	-1	694584	695135	VII	41.12	GTF1	protein_coding
YKL105C	YKL105C_mRNA	239185	242583	242583	3399	-1	239185	242583	XI	40.78	SEG2	protein_coding
YMR197C	YMR197C_mRNA	658545	659198	659198	654	-1	658545	659198	XIII	38.53	VTI1	protein_coding
YLR372W	YLR372W_mRNA	867354	868391	867354	1038	1	867354	868391	XII	37.86		protein_coding
YOR354C	YOR354C_mRNA	1001147	1003225	1003225	2079	-1	1001147	1003225	XV	36.32	MSC6	protein_coding
YML015C	YML015C_mRNA	241989	243029	243029	1041	-1	241989	243029	XIII	40.54	TAF11	protein_coding
YNL129W	YNL129W_mRNA	381480	382202	381480	723	1	381480	382202	XIV	35.41	NRK1	protein_coding
YOR340C	YOR340C_mRNA	959202	960182	960182	981	-1	959202	960182	XV	38.53	RPA43	protein_coding
YOR179C	YOR179C_mRNA	671845	672411	672411	567	-1	671845	672411	XV	39.33	SYC1	protein_coding
YOR150W	YOR150W_mRNA	611999	612490	611999	492	1	611999	612490	XV	40.45	MRPL23	protein_coding
YER066W	YER066W_mRNA	290242	290799	290242	558	1	290242	290799	V	39.43	RRT13	protein_coding
YJR066W	YJR066W_mRNA	559416	566828	559416	7413	1	559416	566828	X	38.55	TOR1	protein_coding
YLR452C	YLR452C_mRNA	1039270	1041366	1041366	2097	-1	1039270	1041366	XII	36.34	SST2	protein_coding
YKL151C	YKL151C_mRNA	164917	165930	165930	1014	-1	164917	165930	XI	43.20	NNR2	protein_coding
YOR184W	YOR184W_mRNA	679357	680544	679357	1188	1	679357	680544	XV	40.66	SER1	protein_coding
YBR084C-A	YBR084C-A_mRNA	414186	415261	415261	570	-1	414186	415261	II	39.59	RPL19A	protein_coding
YBR120C	YBR120C_mRNA	480435	480923	480923	489	-1	480435	480923	II	34.56	CBP6	protein_coding
YHR173C	YHR173C_mRNA	450815	451153	451153	339	-1	450815	451153	VIII	38.94		protein_coding
YAL008W	YAL008W_mRNA	136914	137510	136914	597	1	136914	137510	I	38.86	FUN14	protein_coding
YML109W	YML109W_mRNA	51640	54468	51640	2829	1	51640	54468	XIII	39.73	ZDS2	protein_coding
YDR035W	YDR035W_mRNA	521816	522928	521816	1113	1	521816	522928	IV	41.78	ARO3	protein_coding
YAL035W	YAL035W_mRNA	76427	79435	76427	3009	1	76427	79435	I	41.31	FUN12	protein_coding
YMR178W	YMR178W_mRNA	618479	619303	618479	825	1	618479	619303	XIII	37.21		protein_coding
YOR127W	YOR127W_mRNA	561170	564193	561170	3024	1	561170	564193	XV	38.19	RGA1	protein_coding
YML006C	YML006C_mRNA	256092	258416	258416	2325	-1	256092	258416	XIII	37.16	GIS4	protein_coding
YGL099W	YGL099W_mRNA	314631	316553	314631	1923	1	314631	316553	VII	38.90	LSG1	protein_coding
YML016C	YML016C_mRNA	239458	241536	241536	2079	-1	239458	241536	XIII	38.24	PPZ1	protein_coding
YML096W	YML096W_mRNA	79909	81486	79909	1578	1	79909	81486	XIII	37.71		protein_coding
YGL123W	YGL123W_mRNA	277617	278381	277617	765	1	277617	278381	VII	45.88	RPS2	protein_coding
YOL087C	YOL087C_mRNA	155287	158637	158637	3351	-1	155287	158637	XV	39.27	DUF1	protein_coding
YOR364W	YOR364W_mRNA	1023371	1023739	1023371	369	1	1023371	1023739	XV	36.59		protein_coding
YOR210W	YOR210W_mRNA	738320	738532	738320	213	1	738320	738532	XV	36.15	RPB10	protein_coding
YGL059W	YGL059W_mRNA	392223	393698	392223	1476	1	392223	393698	VII	35.64	PKP2	protein_coding
YBR272C	YBR272C_mRNA	746361	747803	747803	1443	-1	746361	747803	II	36.73	HSM3	protein_coding
YLL037W	YLL037W_mRNA	66562	66942	66562	381	1	66562	66942	XII	36.22		protein_coding
YKR088C	YKR088C_mRNA	604405	605418	605418	1014	-1	604405	605418	XI	37.18	TVP38	protein_coding
YIL027C	YIL027C_mRNA	303679	304104	304104	426	-1	303679	304104	IX	34.98		protein_coding
snR75	snR75_snoRNA	297918	298006	297918	89	1	297918	298006	XIII	32.58		snoRNA
YHR176W	YHR176W_mRNA	454229	455527	454229	1299	1	454229	455527	VIII	42.19	FMO1	protein_coding
tY(GUA)M1	tY(GUA)M1_tRNA	168795	168883	168795	75	1	168795	168883	XIII	52.81	SUP5	tRNA
YHR087W	YHR087W_mRNA	280820	281155	280820	336	1	280820	281155	VIII	44.05	RTC3	protein_coding
YGR039W	YGR039W_mRNA	574888	575199	574888	312	1	574888	575199	VII	35.58		protein_coding
YKL036C	YKL036C_mRNA	369528	369920	369920	393	-1	369528	369920	XI	43.51		protein_coding
snR65	snR65_snoRNA	177183	177282	177183	100	1	177183	177282	III	26.00		snoRNA
tE(UUC)L	tE(UUC)L_tRNA	797178	797249	797178	72	1	797178	797249	XII	55.56		tRNA
YIL018W	YIL018W_mRNA	316768	317932	316768	765	1	316768	317932	IX	41.80	RPL2B	protein_coding
YGR204C-A	YGR204C-A_mRNA	909061	909174	909174	114	-1	909061	909174	VII	36.84		protein_coding
YDR033W	YDR033W_mRNA	508147	509109	508147	963	1	508147	509109	IV	39.77	MRH1	protein_coding
YNL142W	YNL142W_mRNA	357453	358952	357453	1500	1	357453	358952	XIV	44.33	MEP2	protein_coding
YNL262W	YNL262W_mRNA	148212	154880	148212	6669	1	148212	154880	XIV	37.41	POL2	protein_coding
YLR262C-A	YLR262C-A_mRNA	669468	669662	669662	195	-1	669468	669662	XII	40.51	TMA7	protein_coding
YKR031C	YKR031C_mRNA	501344	506395	506395	5052	-1	501344	506395	XI	37.27	SPO14	protein_coding
YIL063C	YIL063C_mRNA	242761	243744	243744	984	-1	242761	243744	IX	40.04	YRB2	protein_coding
YHR116W	YHR116W_mRNA	341665	342120	341665	456	1	341665	342120	VIII	49.56	COX23	protein_coding
YCR042C	YCR042C_mRNA	201174	205397	205397	4224	-1	201174	205397	III	36.81	TAF2	protein_coding
snR45	snR45_snoRNA	821732	821903	821732	172	1	821732	821903	XVI	35.47		snoRNA
YOR105W	YOR105W_mRNA	518195	518521	518195	327	1	518195	518521	XV	36.39		protein_coding
YPL262W	YPL262W_mRNA	47336	48802	47336	1467	1	47336	48802	XVI	43.83	FUM1	protein_coding
YMR154C	YMR154C_mRNA	565999	568182	568182	2184	-1	565999	568182	XIII	36.86	RIM13	protein_coding
YOR393W	YOR393W_mRNA	1080276	1081589	1080276	1314	1	1080276	1081589	XV	46.58	ERR1	protein_coding
YKL095W	YKL095W_mRNA	262277	263113	262277	837	1	262277	263113	XI	40.14	YJU2	protein_coding
YDL090C	YDL090C_mRNA	295034	296329	296329	1296	-1	295034	296329	IV	39.89	RAM1	protein_coding
YOR161C	YOR161C_mRNA	636939	638558	638558	1620	-1	636939	638558	XV	44.69	PNS1	protein_coding
YDL219W	YDL219W_mRNA	65242	65765	65242	453	1	65242	65765	IV	35.88	DTD1	protein_coding
YDR506C	YDR506C_mRNA	1459728	1461554	1461554	1827	-1	1459728	1461554	IV	40.12	GMC1	protein_coding
YJR043C	YJR043C_mRNA	516461	517513	517513	1053	-1	516461	517513	X	37.80	POL32	protein_coding
YNL232W	YNL232W_mRNA	214923	215801	214923	879	1	214923	215801	XIV	42.89	CSL4	protein_coding
snR72	snR72_snoRNA	298554	298651	298554	98	1	298554	298651	XIII	36.73		snoRNA
YNL110C	YNL110C_mRNA	417826	418488	418488	663	-1	417826	418488	XIV	36.20	NOP15	protein_coding
YCR108C	YCR108C_mRNA	315997	316188	316188	192	-1	315997	316188	III	46.35		protein_coding
YDR393W	YDR393W_mRNA	1259901	1261271	1259901	1371	1	1259901	1261271	IV	37.49	SHE9	protein_coding
YPR073C	YPR073C_mRNA	691933	692418	692418	486	-1	691933	692418	XVI	34.77	LTP1	protein_coding
YKL097C	YKL097C_mRNA	258503	258913	258913	411	-1	258503	258913	XI	52.31		protein_coding
YHR121W	YHR121W_mRNA	352756	353319	352756	564	1	352756	353319	VIII	38.83	LSM12	protein_coding
Q0130	Q0130_mRNA	46723	46953	46723	231	1	46723	46953	Mito	33.33	OLI1	protein_coding
YGR160W	YGR160W_mRNA	807073	807684	807073	612	1	807073	807684	VII	40.69		protein_coding
YKL067W	YKL067W_mRNA	314812	315273	314812	462	1	314812	315273	XI	39.61	YNK1	protein_coding
YPL221W	YPL221W_mRNA	133043	135424	133043	2382	1	133043	135424	XVI	42.74	FLC1	protein_coding
YBR250W	YBR250W_mRNA	719033	720604	719033	1572	1	719033	720604	II	35.11	SPO23	protein_coding
YKL178C	YKL178C_mRNA	113215	114627	114627	1413	-1	113215	114627	XI	37.86	STE3	protein_coding
YJR106W	YJR106W_mRNA	624838	627015	624838	2178	1	624838	627015	X	39.49	ECM27	protein_coding
YDL153C	YDL153C_mRNA	181186	183018	183018	1833	-1	181186	183018	IV	38.30	SAS10	protein_coding
YEL038W	YEL038W_mRNA	80462	81145	80462	684	1	80462	81145	V	46.35	UTR4	protein_coding
YJL162C	YJL162C_mRNA	113878	115629	115629	1752	-1	113878	115629	X	36.47	JJJ2	protein_coding
tF(GAA)H1	tF(GAA)H1_tRNA	237848	237939	237939	73	-1	237848	237939	VIII	48.91		tRNA
YBR263W	YBR263W_mRNA	736264	737736	736264	1473	1	736264	737736	II	44.67	SHM1	protein_coding
YDR137W	YDR137W_mRNA	728259	730250	728259	1992	1	728259	730250	IV	36.40	RGP1	protein_coding
YMR028W	YMR028W_mRNA	327482	328582	327482	1101	1	327482	328582	XIII	37.06	TAP42	protein_coding
YEL076C-A	YEL076C-A_mRNA	4185	5114	5114	651	-1	4185	5114	V	44.19		protein_coding
YGL183C	YGL183C_mRNA	156543	157285	157285	660	-1	156543	157285	VII	34.99	MND1	protein_coding
YHR171W	YHR171W_mRNA	445713	447605	445713	1893	1	445713	447605	VIII	36.93	ATG7	protein_coding
YNR031C	YNR031C_mRNA	680694	685433	685433	4740	-1	680694	685433	XIV	37.85	SSK2	protein_coding
YBR228W	YBR228W_mRNA	675313	676227	675313	915	1	675313	676227	II	38.47	SLX1	protein_coding
YJR036C	YJR036C_mRNA	500713	503391	503391	2679	-1	500713	503391	X	36.77	HUL4	protein_coding
YOL015W	YOL015W_mRNA	297078	298838	297078	1761	1	297078	298838	XV	36.29	IRC10	protein_coding
YDR532C	YDR532C_mRNA	1499396	1500553	1500553	1158	-1	1499396	1500553	IV	33.85	KRE28	protein_coding
YER014C-A	YER014C-A_mRNA	183731	184700	184700	462	-1	183731	184700	V	41.75	BUD25	protein_coding
YBL033C	YBL033C_mRNA	158656	159693	159693	1038	-1	158656	159693	II	47.98	RIB1	protein_coding
YLR239C	YLR239C_mRNA	616332	617318	617318	987	-1	616332	617318	XII	37.89	LIP2	protein_coding
YKL020C	YKL020C_mRNA	398832	402080	402080	3249	-1	398832	402080	XI	39.49	SPT23	protein_coding
YDL159W	YDL159W_mRNA	172481	174028	172481	1548	1	172481	174028	IV	38.24	STE7	protein_coding
YNR076W	YNR076W_mRNA	781918	782280	781918	363	1	781918	782280	XIV	49.31	PAU6	protein_coding
YIL068W-A	YIL068W-A_mRNA	233013	233396	233013	384	1	233013	233396	IX	38.54		protein_coding
YNR072W	YNR072W_mRNA	772657	774351	772657	1695	1	772657	774351	XIV	41.77	HXT17	protein_coding
YDR289C	YDR289C_mRNA	1038280	1039509	1039509	1230	-1	1038280	1039509	IV	36.42	RTT103	protein_coding
YOR167C	YOR167C_mRNA	648804	649007	649007	204	-1	648804	649007	XV	45.10	RPS28A	protein_coding
YDL014W	YDL014W_mRNA	427364	428347	427364	984	1	427364	428347	IV	47.46	NOP1	protein_coding
YJL168C	YJL168C_mRNA	102227	104428	104428	2202	-1	102227	104428	X	37.92	SET2	protein_coding
YHR014W	YHR014W_mRNA	132047	132922	132047	876	1	132047	132922	VIII	37.21	SPO13	protein_coding
YPR131C	YPR131C_mRNA	793911	794498	794498	588	-1	793911	794498	XVI	38.61	NAT3	protein_coding
YPR125W	YPR125W_mRNA	787961	789325	787961	1365	1	787961	789325	XVI	40.15	YLH47	protein_coding
YMR313C	YMR313C_mRNA	899379	901307	901307	1929	-1	899379	901307	XIII	37.43	TGL3	protein_coding
YBR167C	YBR167C_mRNA	571468	571890	571890	423	-1	571468	571890	II	36.17	POP7	protein_coding
YFL010C	YFL010C_mRNA	115108	115743	115743	636	-1	115108	115743	VI	50.00	WWM1	protein_coding
YMR155W	YMR155W_mRNA	568551	570194	568551	1644	1	568551	570194	XIII	38.38		protein_coding
YAL068W-A	YAL068W-A_mRNA	538	792	538	255	1	538	792	I	35.29		protein_coding
YDR177W	YDR177W_mRNA	816878	817525	816878	648	1	816878	817525	IV	41.67	UBC1	protein_coding
YGR246C	YGR246C_mRNA	982482	984272	984272	1791	-1	982482	984272	VII	40.03	BRF1	protein_coding
YDL087C	YDL087C_mRNA	300214	300999	300999	786	-1	300214	300999	IV	46.44	LUC7	protein_coding
YFR031C-A	YFR031C-A_mRNA	220507	221418	221418	765	-1	220507	221418	VI	45.29	RPL2A	protein_coding
YLR318W	YLR318W_mRNA	766542	769196	766542	2655	1	766542	769196	XII	33.79	EST2	protein_coding
YLR376C	YLR376C_mRNA	872826	873554	873554	729	-1	872826	873554	XII	37.17	PSY3	protein_coding
YBR162C	YBR162C_mRNA	563203	564570	564570	1368	-1	563203	564570	II	43.49	TOS1	protein_coding
YER157W	YER157W_mRNA	484788	487193	484788	2406	1	484788	487193	V	36.03	COG3	protein_coding
YBR290W	YBR290W_mRNA	782591	783556	782591	966	1	782591	783556	II	38.51	BSD2	protein_coding
YDR055W	YDR055W_mRNA	563527	564861	563527	1335	1	563527	564861	IV	41.42	PST1	protein_coding
YOR262W	YOR262W_mRNA	817292	818335	817292	1044	1	817292	818335	XV	38.41	GPN2	protein_coding
YCR091W	YCR091W_mRNA	274404	276566	274404	2163	1	274404	276566	III	39.99	KIN82	protein_coding
YNR054C	YNR054C_mRNA	723356	724306	724306	951	-1	723356	724306	XIV	40.80	ESF2	protein_coding
YLR142W	YLR142W_mRNA	425186	426616	425186	1431	1	425186	426616	XII	41.16	PUT1	protein_coding
tS(CGA)C	tS(CGA)C_tRNA	227942	228042	227942	82	1	227942	228042	III	54.46	SUP61	tRNA
YLR105C	YLR105C_mRNA	347047	348180	348180	1134	-1	347047	348180	XII	40.30	SEN2	protein_coding
